id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8357,The Mushroom Dome Retreat & LAND of Paradise Suite,24281,Kitty And Michael,,Unincorporated Areas,37.00939,-121.88547,Entire home/apt,159,2,1724,2022-09-25,10.73,2,100,125,
24548,Room with Private Entrance.,99532,Kerstin,,City of Santa Cruz,36.97191,-121.99735,Private room,100,1,526,2022-09-05,3.48,1,0,18,
31721,Private Pleasure Point Beach Cottage w/hottub,136376,Annie,,City of Capitola,36.95849,-121.97207,Entire home/apt,239,4,293,2022-09-26,2.45,2,160,48,
43785,Guest bedroom in Victorian home,191477,Caroline,,City of Santa Cruz,36.97774,-122.03403,Private room,99,2,529,2022-09-18,3.60,1,348,43,
54948,Modern Beach House,258675,Terry & Clint,,City of Santa Cruz,36.96788,-122.011841,Entire home/apt,335,2,123,2022-04-03,0.85,2,0,5,
57031,Sunny in nature quiet location,44764,Steven,,Unincorporated Areas,36.98111,-121.88124,Entire home/apt,155,10,1,2018-08-22,0.02,2,26,0,
70829,Master Bedroom w/ Soaker Tub,360285,Maisie,,City of Santa Cruz,36.97789,-122.02757,Private room,98,3,490,2022-09-25,3.45,1,88,61,
101755,Beautiful Family Home for Santa Cruz Vacation,532855,Daniel,,City of Santa Cruz,36.97732,-122.01147,Entire home/apt,499,3,16,2022-09-05,0.12,1,0,4,
126012,Santa Cruz Mtns. Dragonfly Cottage,625642,Mary Jane,,Unincorporated Areas,37.03277,-121.82554,Entire home/apt,178,1,598,2022-08-29,4.37,2,294,80,
153903,Redwood Treehouse Santa Cruz Mtns.,625642,Mary Jane,,Unincorporated Areas,37.03123,-121.82499,Entire home/apt,159,1,880,2022-09-09,6.44,2,103,74,
198171,Charming Cottage Very Near Beach,187953,Gail,,City of Santa Cruz,36.95545,-122.03731,Entire home/apt,144,3,503,2022-09-23,3.72,1,16,31,
207329,"Sunny, Spacious, and Modern Home Near The Beach",918166,Sun,,Unincorporated Areas,36.96566,-121.98092,Entire home/apt,610,2,271,2022-09-25,2.01,1,315,35,
209953,Guest Room in Great Beach House,1034839,Kim And Mike,,City of Santa Cruz,36.95956,-122.02534,Private room,135,2,224,2022-09-12,1.66,2,136,36,
260857,"Santa Cruz, Sanctuary w/ hot tub in bamboo garden",1368824,Mara,,City of Santa Cruz,36.96946,-122.04446,Entire home/apt,307,1,439,2022-08-22,3.45,4,96,46,
264450,Walk to everything!  Surf Colony Modern Surf Shack,1387567,Brit,,City of Santa Cruz,36.96075,-122.02605,Entire home/apt,304,3,177,2022-09-18,1.34,1,170,38,
266427,"Cozy, modern cottage by beach with hot tub, garden",951619,Rikki,,City of Santa Cruz,36.95984,-122.03779,Entire home/apt,385,2,266,2022-09-18,2.02,1,353,22,
302800,Cottage Nestled in the Redwoods,1547341,Jay,,Unincorporated Areas,37.05362,-121.96086,Entire home/apt,194,2,472,2022-09-13,3.64,2,114,57,
350780,Ridge Top Get-A-Way and Quiet Dedicated work space,173208,Mark & Hope,,Unincorporated Areas,37.10348,-121.9442,Private room,149,2,99,2022-09-25,0.79,1,340,18,
421119,BEACH APARTMENT 10 minutes from SANTA CRUZ,2094237,Michael,,Unincorporated Areas,37.011253,-122.194817,Entire home/apt,161,1,482,2022-09-05,3.79,2,356,61,
454433,10 MINUTES NORTH OF SANTA CRUZ,2094237,Michael,,Unincorporated Areas,37.01747,-122.19599,Entire home/apt,201,1,366,2022-09-10,2.90,2,363,14,
494132,Private Room/Studio Near Beach & Forest. Own entry,3177,Jenni & Doug,,Unincorporated Areas,36.99327,-121.94547,Private room,119,1,438,2022-09-11,3.49,1,356,36,
519543,Santa Cruz Private Bedroom and Bath,2547484,Justin,,City of Santa Cruz,36.97576,-122.01361,Private room,149,30,62,2016-11-07,0.49,1,359,0,
558146,Beautiful Santa Cruz Craftsman  3 bedroom+/2 Bath,1368824,Mara,,City of Santa Cruz,36.96915,-122.04283,Entire home/apt,411,2,47,2022-08-05,0.38,4,83,5,
604260,Bali-by-the-Beach...time for you!,15867956,Surf City,,Unincorporated Areas,36.96833,-121.90516,Entire home/apt,371,3,116,2022-08-27,0.98,56,346,29,
604281,OpalCliff Beach House- 20 years a vacation rental!,911803,Joyce,,City of Capitola,36.963902,-121.962532,Entire home/apt,552,1,167,2022-09-16,1.66,1,141,32,
690397,Secluded Santa Cruz Beach Hideaway,238088,Dore,,City of Capitola,36.96073,-121.96995,Entire home/apt,210,3,468,2022-09-16,3.91,1,239,54,
719285,Relaxing Ocean View,3711123,Lynn,,Unincorporated Areas,36.97577,-121.91584,Entire home/apt,414,4,162,2022-09-12,1.33,1,160,13,
720801,The Coop,10973114,Bruce,,City of Santa Cruz,36.97242,-122.0118,Entire home/apt,255,4,104,2022-09-16,0.87,1,80,14,
739515,Capitola Beach House  on River.    TRO 16-046,3859873,Bridget,,City of Capitola,36.97351,-121.95332,Entire home/apt,264,2,254,2022-09-21,2.18,1,161,37,
769642,Sweet Market Street Farm House,4060026,Beth,,City of Santa Cruz,36.98511,-122.01379,Entire home/apt,600,2,94,2022-09-18,0.84,1,36,6,
813667,Country living near the sea!,4276065,Brent,,Unincorporated Areas,37.02259,-121.9917,Entire home/apt,225,3,37,2019-07-30,0.33,3,319,0,
846127,The Perfect Little Retreat In SC,256935,Jason,,City of Santa Cruz,36.97723,-122.00709,Entire home/apt,220,2,88,2019-11-30,0.75,2,0,0,
927471,"A Calm Mountain Getaway, Voss Gardens of Delight",4990689,Eden,,Unincorporated Areas,37.10486,-121.98838,Private room,71,2,200,2022-09-05,1.81,2,270,8,
938306,"Hidden Gem Close to Downtown, Beach and Boardwalk",5067791,Michael And Mary,,City of Santa Cruz,36.97706,-122.02967,Entire home/apt,215,29,81,2022-07-04,0.88,1,88,6,
1024086,Cozy Redwood Studio in Foothills,5637736,Don & Christine,,Unincorporated Areas,37.19436,-122.02255,Entire home/apt,88,21,230,2020-03-04,2.02,1,11,0,
1041390,Santa Cruz Beach & Hike Launch Pad,5733253,Mp,,City of Scotts Valley,37.04572,-122.0207,Entire home/apt,110,10,46,2022-06-09,0.42,3,122,2,
1072272,Victorian Beach House Santa Cruz,5177794,Diana,,City of Santa Cruz,36.96902,-122.02937,Entire home/apt,329,3,146,2022-09-18,1.31,1,179,35,
1080652,Estate Guest House on Vineyard,5944077,Judy,,Unincorporated Areas,36.99951,-121.87681,Private room,310,2,311,2022-08-28,2.73,2,365,26,
1089732,Quiet and Serene in Santa Cruz!,4261488,Hallie,,City of Santa Cruz,36.97975,-122.01388,Entire home/apt,205,3,110,2022-09-25,0.96,4,32,30,
1148478,Walker's Paradise Downtown Victorian Guest House,3756788,Brion,,City of Santa Cruz,36.9746,-122.03026,Private room,89,6,30,2022-09-03,0.30,5,147,9,
1148519,Walk in Downtown. Victorian with Private Bathroom,3756788,Brion,,City of Santa Cruz,36.97301,-122.03215,Private room,110,7,2,2017-07-18,0.03,5,157,0,
1148574,"Victorian Treasure Downtown, Walk to Everything.",3756788,Brion,,City of Santa Cruz,36.97465,-122.03155,Private room,99,6,25,2022-08-07,0.29,5,146,7,
1187783,Modern Designer: Amazing Location,4123746,Lilian,,City of Capitola,36.9596,-121.9742,Entire home/apt,600,2,293,2022-09-16,2.60,1,139,42,
1226199,Aptos - Rio Del Mar Beach House,5402402,Jeff,,Unincorporated Areas,36.96954,-121.89811,Entire home/apt,280,30,423,2022-09-16,3.73,1,349,46,
1326553,Private Upstairs Beach View Room,1034839,Kim And Mike,,City of Santa Cruz,36.95987,-122.02463,Private room,135,2,114,2022-08-14,1.03,2,350,1,
1349898,Eco Haven- 2 rooms available,7324423,Roger,,Unincorporated Areas,37.08114,-122.06931,Private room,120,2,294,2022-09-18,2.73,1,350,45,
1374324,Country home near the sea,4276065,Brent,,Unincorporated Areas,37.02248,-121.9932,Entire home/apt,225,2,3,2019-05-12,0.06,3,0,0,
1411830,The Seabright Beach Bungalow,7611557,William,,City of Santa Cruz,36.9659,-122.00963,Entire home/apt,375,5,42,2022-08-29,0.54,1,74,9,
1422795,SUNNY 3+BDRM HOME-150 YARDS TO SAND,3849831,Courtney,,City of Santa Cruz,36.96334,-122.00534,Entire home/apt,571,2,128,2022-09-25,1.15,2,247,24,
1426294,BEACH Studio! Super close to Seabright Beach,3849831,Courtney,,City of Santa Cruz,36.96537,-122.00497,Entire home/apt,211,2,304,2022-09-25,2.72,2,348,41,
1434279,Victorian Cottage on West Cliff Drive 18-0089,7708882,Khristina,,City of Santa Cruz,36.95912,-122.02632,Entire home/apt,281,4,70,2022-09-13,0.63,2,281,13,
1434388,Carriage House on West Cliff Drive 18-0090,7708882,Khristina,,City of Santa Cruz,36.95759,-122.02633,Entire home/apt,296,4,104,2022-09-12,0.94,2,249,8,
1445161,Cute Cabin in Santa Cruz Mountains,7758816,Cyndi & Sal,,Unincorporated Areas,37.0432,-121.94095,Entire home/apt,128,30,585,2022-09-12,5.30,1,265,38,
1459083,5th Haven: A Beachside Chic Cottage,7821973,Ryan,,City of Santa Cruz,36.96606,-122.00193,Entire home/apt,509,2,168,2021-10-03,1.51,1,179,1,
1508357,Private Cabin/beach house!,4373958,Carlo,,Unincorporated Areas,36.97476,-121.90147,Entire home/apt,650,2,40,2022-07-31,0.37,1,358,10,
1535050,The Garden Room @ Redwood Croft,8186343,Sitah,,Unincorporated Areas,37.06206,-122.14776,Private room,215,2,74,2022-09-26,1.31,2,54,16,
1574540,Garden Beach Cottage,4731682,Carla,,City of Santa Cruz,36.96689,-122.0309,Entire home/apt,156,2,663,2022-09-20,6.01,1,244,83,
1615910,"Private Home - Capitola, California",8600588,Dale,,City of Capitola,36.96454,-121.96323,Entire home/apt,241,10,2,2019-06-20,0.02,2,57,0,
1615942,"Charming Private room - Capitola, CA",8600588,Dale,,City of Capitola,36.96720504760742,-121.95957946777344,Private room,156,2,208,2022-09-19,1.89,2,365,16,
1623405,"Cozy mountain home in the redwoods, near the beach",7677959,John,,Unincorporated Areas,37.04067,-122.15158,Entire home/apt,300,3,21,2022-08-15,1.35,1,3,16,
1649986,PrIvate Seabright Garden Apartment,1803583,Suzanne,,City of Santa Cruz,36.98182,-122.01683,Entire home/apt,137,1,788,2022-09-11,7.27,2,180,73,
1657147,Case De Weeks,8784848,"Meredith, Wallace & Ashby",,City of Santa Cruz,36.98856,-121.98754,Entire home/apt,729,2,162,2022-06-20,1.49,1,321,4,
1663396,"Peace and Quiet in the Mountains, Room B",4990689,Eden,,Unincorporated Areas,37.10514,-121.98859,Private room,58,1,172,2020-03-30,1.64,2,270,0,
1671115,Sunny Garden Guesthouse on the Westside,8847022,Erin,,City of Santa Cruz,36.96754,-122.03737,Entire home/apt,123,1,170,2022-09-25,1.67,1,41,23,
1720522,Lovely Comfy Santa Cruz Artist's Home,179559,Nicole & Sam,,City of Santa Cruz,36.97279,-122.04007,Entire home/apt,450,7,64,2019-11-29,0.62,1,0,0,
1873477,Fall Available/Ocean Front Family West Cliff Dr.,9761785,Pearne Properties,,City of Santa Cruz,36.94976,-122.04835,Entire home/apt,644,2,73,2022-08-06,0.77,1,343,11,
1910101,"Private room, bath and own entrance",521723,Scott,,City of Scotts Valley,37.05041,-122.02758,Private room,75,2,187,2022-06-19,1.74,3,0,1,
1947803,Retreat in the Redwoods,10073068,Mary,,Unincorporated Areas,37.01725,-121.75767,Entire home/apt,2000,2,63,2017-12-31,0.61,1,89,0,
1985054,The Lavender House,3579695,Toni,,Unincorporated Areas,37.15116,-121.98852,Entire home/apt,130,1,301,2022-09-18,2.81,2,335,57,
1998795,HARBOR HOUSE,9579701,Matt,,City of Santa Cruz,36.96685,-122.00024,Entire home/apt,525,5,3,2014-03-24,0.03,1,211,0,
2022861,Fanti-Sea beach studio with a view!   OCEAN VIEW!!,10341402,Jeanell,,Unincorporated Areas,36.97596,-121.92451,Private room,325,1,192,2022-09-11,1.81,3,354,26,
2051278,Bright & Lovely Room in Santa Cruz,9711805,Vanessa & Chrissy,,Unincorporated Areas,36.9933,-121.97718,Private room,79,1,5,2022-06-12,0.09,1,0,2,
2056872,Downtown Santa Cruz Adventure,4622744,Ahnalisa,,City of Santa Cruz,36.97049,-122.02523,Entire home/apt,364,1,459,2022-09-11,4.34,1,328,50,
2131819,The Joy of Coastal Mountain Living!,10041181,Howard,,Unincorporated Areas,37.04506,-122.14874,Entire home/apt,235,2,324,2022-09-06,3.19,3,73,48,
