objectid,county,city,surface,class,agency,status,seg_num,length,year_cmplt,legend,SHAPE_Length
2952,Marin,Novato,,1,Caltrans,Proposed,9002,3.20483759417786,,Planned Bay Trail,0.0526882813524982
2953,Marin,Novato,,1,Sonoma-Marin Area Rail Transit,Proposed,9009,2.21318493023198,,Planned Bay Trail,0.0347813295591006
2954,Marin,San Rafael,,2,San Rafael Public Works Dept,Proposed,9024,1.47142826005591,,Planned Bay Trail,0.0228161337330319
2955,San Mateo,Brisbane,,1,Brisbane Community Development,Proposed,2001,1.24527351168089,,Planned Bay Trail,0.0183642978474302
2956,San Mateo,S San Francisco,paved,1,SSF Planning Dept,Existing,2010,0.596633872442773,2009,Bay Trail (off street),0.00961198872981857
2957,San Francisco,San Francisco,,1,SF Municipal Transportation Agency,Proposed,1032,0.24084955279957,,Planned Bay Trail,0.00430058769144038
2958,San Mateo,Burlingame,paved,1,Burlingame Planning Dept,Existing,2047,0.0754387697889251,,Bay Trail (off street),0.00137513406378045
2959,San Mateo,Burlingame,,1,Burlingame Planning Dept,Proposed,2042,0.204283184368944,,Planned Bay Trail,0.00372385235286656
2960,San Mateo,Redwood City,,1,Redwood City Planning Dept,Proposed,2089,2.02778954958965,,Planned Bay Trail,0.0361977076448783
2961,San Mateo,Redwood City,,1,U.S. Fish & Wildlife Service,Proposed,2066,1.88847359568307,,Planned Bay Trail,0.0319993813815517
2962,San Francisco,San Francisco,,1,SF Recreation & Parks Dept,Proposed,1025,0.20447377613119,,Planned Bay Trail,0.00331978130242824
2963,Alameda,Berkeley,,1,East Bay Regional Park District,Proposed,4163,0.0916645824492509,,Planned Bay Trail,0.0016560424352448
2964,San Mateo,Menlo Park,paved,1,Menlo Park Public Works Dept,Existing,2091,0.352613034797524,2014,Bay Trail (off street),0.00537002432024012
2965,San Mateo,East Palo Alto,,1,Midpeninsula Regional Open Space District,Existing,2092,0.570771724658358,,Bay Trail (off street),0.0100626341864303
2966,Alameda,San Leandro,paved,2,San Leandro Public Works Dept,Existing,4044,0.421686331745295,,Bay Trail (on street),0.00649665843193576
2967,Alameda,San Leandro,,2,San Leandro Public Works Dept,Proposed,4046,0.614348664906676,,Planned Bay Trail,0.0092154197265417
2968,Alameda,Oakland,,1,East Bay Regional Park District,Proposed,4053,0.73380963526616,,Planned Bay Trail,0.0115098565066503
2969,Alameda,Oakland,paved,1,Oakland Public Works Agency,Existing,4078,0.154712531888366,2009,Bay Trail (off street),0.002664792063534
2970,Alameda,Alameda,paved,2,Alameda Public Works Department,Existing,4063,0.207887459355235,2011,Bay Trail (on street),0.0033795135039992
2971,Alameda,Alameda,,2,Alameda Public Works Department,Proposed,4090,0.575252674639702,,Planned Bay Trail,0.0101759621899636
2972,Alameda,Alameda,,1,Alameda Public Works Department,Proposed,4072,0.665504402979984,,Planned Bay Trail,0.0111655054764728
2973,Alameda,Alameda,,2,Alameda Public Works Department,Proposed,4085,0.151186559019081,,Planned Bay Trail,0.00219327008411333
2974,Alameda,Alameda,,1,Alameda Public Works Department,Proposed,4091,0.312095914433656,,Planned Bay Trail,0.00452890053781456
2975,Alameda,Alameda,paved,1,Alameda Public Works Department,Existing,4120,0.209079729065026,2006,Bay Trail (off street),0.00329467901602698
2976,Alameda,Alameda,paved,2,Alameda Public Works Department,Existing,4108,0.820244437430236,,Bay Trail (on street),0.0149824476428907
2977,Alameda,Alameda,,1,Alameda Public Works Department,Proposed,4126,0.437599773073665,,Planned Bay Trail,0.00667238158861016
2978,Alameda,Albany,,1,East Bay Regional Park District,Existing,4164,0.935732902186976,2020,Bay Trail (off street),0.0143745881882929
2979,Contra Costa,Richmond,paved,2,Richmond Public Works Dept,Existing,5022,0.512611560160907,2010,Bay Trail (on street),0.00744144134380978
2980,Contra Costa,Richmond,paved,1,Caltrans,Existing,5034,1.5574861871776,2019,Bay Trail (off street),0.0284751103784762
2981,Contra Costa,Richmond,,1,Richmond Public Works Dept,Proposed,5040,0.980755189486808,,Planned Bay Trail,0.0159411889734854
2982,Contra Costa,Richmond,,1,East Bay Regional Park District,Proposed,5059,0.994399103250499,,Planned Bay Trail,0.0165410378285388
2983,Contra Costa,Hercules,paved,2,Hercules Public Works Dept,Existing,5074,1.81374638129376,,Bay Trail (on street),0.0296075899527449
2984,Sonoma,Sonoma County,,1,Caltrans,Proposed,8012.1,0.234490806972957,,Planned Bay Trail,0.00390879748709005
2985,Sonoma,Sonoma County,natural,1,Port Sonoma Marina,Proposed,8012.4,0.0236400267620709,,Planned Bay Trail,0.00037627667172798
2986,Sonoma,Sonoma County,natural,1,Port Sonoma Marina,Proposed,8012.5,0.11865585775246,,Planned Bay Trail,0.0019337063274829
2987,Contra Costa,Contra Costa Co,,2,Contra Costa County Public Works,Proposed,5093,0.762434871278079,,Planned Bay Trail,0.0125208827326893
2988,Contra Costa,Contra Costa Co,,2,Contra Costa County Public Works,Proposed,5095,0.574956986555643,,Planned Bay Trail,0.0104088192899996
2989,Alameda,Alameda,,2,Alameda Public Works Department,Proposed,4117,0.327788613164198,,Planned Bay Trail,0.00557407129810381
2990,Alameda,Oakland,,1,Oakland Public Works Agency,Proposed,4116,0.100281653371234, ,Planned Bay Trail,0.00169830121666666
2991,Alameda,Oakland,paved,1,Port of Oakland,Existing,4178,1.11245564524884,,Bay Trail (off street),0.0180230155931968
2992,San Mateo,San Mateo Co,paved,1,San Mateo County Parks,Existing,2060,0.148175581892368,2010,Bay Trail (off street),0.00265107639699632
2993,San Mateo,San Mateo Co,paved,1,San Mateo County Parks,Existing,2058,0.126924623628155,2010,Bay Trail (off street),0.00225832605231371
2994,Alameda,Oakland,,2,Port of Oakland,Proposed,4132,2.17972052771465,,Planned Bay Trail,0.0378500444515466
